name,score,budget_x,original_index,year,revenue_to_budget,lang_Arabic,lang_Basque,"lang_Bokmål, Norwegian, Norwegian Bokmål",lang_Cantonese,"lang_Catalan, Valencian",lang_Central Khmer,lang_Chinese,lang_Czech,lang_Danish,"lang_Dutch, Flemish",lang_Dzongkha,lang_English,lang_Finnish,lang_French,lang_Galician,lang_German,lang_Greek,lang_Gujarati,lang_Hindi,lang_Hungarian,lang_Icelandic,lang_Indonesian,lang_Irish,lang_Italian,lang_Japanese,lang_Kannada,lang_Korean,lang_Latin,lang_Latvian,lang_Macedonian,lang_Malay,lang_Malayalam,lang_No Language,lang_Norwegian,lang_Persian,lang_Polish,lang_Portuguese,lang_Romanian,lang_Russian,"lang_Spanish, Castilian",lang_Swedish,lang_Tagalog,lang_Tamil,lang_Telugu,lang_Thai,lang_Turkish,lang_Ukrainian,lang_Vietnamese,ctr_AR,ctr_AT,ctr_AU,ctr_BE,ctr_BO,ctr_BR,ctr_CA,ctr_CH,ctr_CL,ctr_CN,ctr_CO,ctr_CZ,ctr_DE,ctr_DK,ctr_DO,ctr_ES,ctr_FI,ctr_FR,ctr_GB,ctr_GR,ctr_GT,ctr_HK,ctr_HU,ctr_ID,ctr_IE,ctr_IL,ctr_IN,ctr_IR,ctr_IS,ctr_IT,ctr_JP,ctr_KR,ctr_LV,ctr_MU,ctr_MX,ctr_MY,ctr_NL,ctr_NO,ctr_PE,ctr_PH,ctr_PL,ctr_PR,ctr_PY,ctr_RU,ctr_SE,ctr_SG,ctr_SU,ctr_TH,ctr_TR,ctr_TW,ctr_UA,ctr_US,ctr_UY,ctr_VN,ctr_ZA,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Nan,Romance,Science_Fiction,Thriller,Tv_Movie,War,Western,text_pca_1,text_pca_2,text_pca_3,text_pca_4,text_pca_5,text_pca_6,text_pca_7,text_pca_8,text_pca_9,text_pca_10,text_pca_11,text_pca_12,text_pca_13,text_pca_14,text_pca_15,text_pca_16,text_pca_17,text_pca_18,text_pca_19,text_pca_20,text_pca_21,text_pca_22,text_pca_23,text_pca_24,text_pca_25,text_pca_26,text_pca_27,text_pca_28,text_pca_29,text_pca_30,text_pca_31,text_pca_32,text_pca_33,text_pca_34,text_pca_35,text_pca_36,text_pca_37,text_pca_38,text_pca_39,text_pca_40,text_pca_41,text_pca_42,text_pca_43,text_pca_44,text_pca_45,text_pca_46,text_pca_47,text_pca_48,text_pca_49,text_pca_50,text_pca_51,text_pca_52,text_pca_53,text_pca_54,text_pca_55,text_pca_56,text_pca_57,text_pca_58,text_pca_59,text_pca_60,text_pca_61,text_pca_62,text_pca_63,text_pca_64,text_pca_65,text_pca_66,text_pca_67,text_pca_68,text_pca_69,text_pca_70,text_pca_71,text_pca_72,text_pca_73,text_pca_74,text_pca_75
Avatar: The Way of Water,0.78,1.0,1,1.0,0.00047556189993009333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.44904974,-1.8518604,-0.4384063,0.19191748,0.28290722,-0.68851215,0.47275713,-0.314722,-1.4497782,0.3946521,0.6936645,-1.3478831,-0.8858882,-0.9437802,0.7761954,-1.0580947,0.092542775,0.8672256,0.71926475,0.483785,-0.2489915,-1.7443662,-0.38850945,1.1065658,1.3011272,1.3789239,0.40760612,0.26304674,0.1447872,0.8418441,-0.7278366,0.34240457,-0.73151326,-2.0378683,-0.62082994,-0.7347806,-0.23259233,-0.57360905,-0.8630619,1.8213234,1.2378978,-0.73468626,0.08443862,-1.2144438,0.19083707,-1.0073022,0.6961874,-1.1161097,-2.0391276,-0.019065863,-0.4902691,-1.5087712,0.79647803,0.010897152,2.257481,-0.74330777,0.43032804,-1.1862712,-1.2447264,-1.1003445,0.09455222,0.54976237,0.024625475,0.03162732,-1.1041328,-0.3144984,0.741594,-0.013985916,-0.4173446,1.5309054,-0.76751465,0.60569453,1.6871275,-1.4168205,0.22950861
Puss in Boots: The Last Wish,0.8300000000000001,0.19563374343403436,7,1.0,0.0005072419692673994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08488571,0.05022493,-0.78484964,0.9965333,-0.2599684,-0.39481643,-0.45623437,-0.13420665,2.362728,-0.44693196,0.6449312,-0.04310494,0.28072765,0.7472973,-1.6567794,-0.0052889013,-0.11695997,-0.32862383,-2.3723707,0.94964164,-1.3961636,-0.48178026,-0.7993175,0.0819112,-1.431891,0.08138867,-1.450223,-0.8957162,1.3289131,-0.63152236,1.4325635,-0.93427396,1.2397748,0.029225849,0.23037425,-0.4368459,1.6673877,0.9933613,0.25250152,0.12008388,-0.6299541,-1.1689452,-0.77549386,-0.094120905,0.14643922,1.6643326,0.37503824,0.5510228,-1.516572,0.5310931,-0.37608367,-0.6410912,0.11019737,0.13109557,-0.50285524,-1.3315954,0.899153,-1.5984542,0.007960069,-0.35445443,0.08731423,0.8018728,-1.563882,0.5068331,-0.4652169,-0.113696285,1.0698814,-0.1693113,-1.152564,1.1348785,-1.5251011,-1.6532485,0.3206958,-0.06276978,-1.2845097
Attack on Titan,0.59,0.15432844917794422,8,1.0,0.0003390464343515898,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.53144604,-1.669957,-0.05005146,-0.2681811,1.0772517,1.2727097,0.757343,1.6099755,-0.8868448,-0.066231824,-0.31985956,0.47801465,0.23212469,1.2589692,1.0435451,0.35286367,0.18190603,-0.04686904,-1.7405224,-0.82640725,0.11421236,-0.61591554,1.6864326,-2.0739617,-0.55526215,0.16300793,-0.020589227,-0.24062175,0.0015300672,-0.4285043,1.9919728,0.25589246,-0.24892116,0.33749127,-0.123811744,0.15962616,-0.080581434,-0.77916497,-0.27053988,-0.10113681,1.1100724,1.3536836,0.86526835,0.92709935,-0.9518377,-0.83610827,-1.387387,1.1900064,-0.49161687,0.8535975,-0.09849419,0.43796813,-0.9671534,1.7128457,1.5623574,0.7258683,-0.34512797,1.3071537,1.3780392,-0.7147001,0.606925,-0.9332616,-0.0020701142,0.82426506,0.55769,1.6453341,-1.8167793,-0.39517865,-0.057391725,0.5004037,1.7374419,0.55717963,0.5083533,-0.034104414,-0.15004832
The Exorcist,0.55,0.02606464069850644,11,1.0,0.0033695829143876436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.67779493,0.3697524,0.26067737,0.31889704,0.54308367,-0.05204946,0.074205786,0.2847845,0.85875165,1.243277,0.32122728,1.5322789,-0.3998091,0.10961266,-0.10319226,-0.52145976,0.031879526,0.6123998,0.74681324,-0.822792,-0.76870626,0.36508015,0.123936184,-0.5857176,-0.09794307,-0.16094793,-0.26737484,0.55854017,0.3580033,-1.1836399,1.1771278,-0.40594855,0.38615456,-0.045868937,-0.033130866,0.18419655,-0.52936906,0.20384537,0.9675144,-0.36155418,0.5893344,-1.1030189,0.22859958,-0.4929635,0.16264583,0.38529474,0.22645359,0.14403014,0.42667317,-0.030412188,-0.6927272,-1.1566089,-0.43419364,0.14431019,-0.5236205,-0.35137796,-0.28777197,0.24821408,0.52859575,0.06856751,0.4805647,-0.45358163,0.1322498,0.32066548,-1.1332138,-0.5122658,0.29332924,-0.08457169,-0.11276754,0.42271155,1.009799,0.44896182,-0.5329023,0.03113666,-0.67513704
Black Panther: Wakanda Forever,0.73,0.5434678003274249,13,1.0,0.00032255641120187614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.1168847,-1.1716882,-0.61522394,0.9186923,-0.50591266,0.29734945,-1.16242,-0.3495119,-0.62965906,0.89258885,-0.008430151,-0.490534,-0.19620444,-0.362519,0.29026252,0.5543421,-0.9265235,0.118270025,-0.21940798,0.55760896,0.4274889,-1.2000268,0.7235567,-1.1765885,0.45729044,-1.0623691,-0.28418267,0.8504363,-0.41142148,-0.27831295,-0.080761984,0.40480468,-0.38168567,1.7518301,0.18876584,-1.3822017,-0.6596381,0.3639077,0.36092228,0.2667671,0.23250277,-0.38110036,0.19470884,0.2811063,-0.17817767,-0.038744695,0.11845019,0.1510782,0.93994224,0.809151,0.27050936,-0.011269475,-0.021894855,-0.92596674,1.012105,-0.1321928,1.3556635,-0.07561608,0.74173975,-1.3382974,-0.20582426,0.50144637,-1.2083774,-0.68446183,-0.008386889,-1.6689179,1.126453,-0.47075772,1.2412444,0.8179097,-0.35317498,-1.5883322,0.5596929,0.12890105,-0.11117592
Prizefighter: The Life of Jem Belcher,0.62,0.1686766040247966,15,1.0,0.0006839833159969596,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9359288,-0.534869,0.9736373,2.1025307,0.01742123,-0.7812549,-1.0606745,0.26794705,-0.09131651,-0.44592074,1.1444588,1.1912072,-0.056627564,-1.7526232,0.79796606,-0.14416064,-3.8839748,-0.5067553,-0.46821165,-0.8261372,0.2608424,-0.7392612,0.68856895,0.9686126,0.8373856,-1.4176432,1.3732898,-0.37161487,-2.1698387,-0.47239378,-0.84752274,1.0329738,0.06139159,-1.6615319,-1.3946264,0.94978905,-0.12814449,-1.1633425,2.0844233,-1.667336,-0.21356761,2.112525,-0.8294049,-1.1122386,-0.58896554,1.497641,-0.23784606,-0.67445844,2.0396137,0.63069,-1.5541452,-2.0609968,2.4288728,2.2092185,-2.2211611,1.0249135,-0.22673228,-0.037870705,-0.37648508,1.0172707,-1.1442542,-0.14060465,-0.07999671,0.314365,1.2767361,-1.5609107,-0.1311378,0.8577201,1.2796154,-1.3397483,-0.9975192,-1.4656658,-0.56615615,-1.3617867,-0.6286699
Gold Run,0.65,0.26846149909608796,19,1.0,0.0003214353465123945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.37825814,-0.75452596,1.1412727,0.20767212,0.8595301,0.9438445,0.59331816,0.871144,0.8848201,-0.9537532,1.513739,1.0393089,-0.41987813,-0.5676265,1.1529901,0.051559467,-1.3942674,-0.22418046,-0.3796482,0.031950917,0.793429,0.041541804,-0.30105284,1.0409379,0.98788875,-0.38377252,-0.60865015,1.98923,-1.2417572,-0.86844146,-0.8494745,0.029353553,0.4523007,-0.8560503,-0.24914956,0.10017636,1.5469009,0.07379726,0.26608402,-0.6814101,1.3197637,0.0071172146,-0.4845495,-0.5961868,0.36601916,-0.082063146,0.28806522,-1.110262,-0.055005595,1.4847898,-0.9966069,1.1611313,1.5997314,0.42854673,1.6004652,-1.1436714,-0.32055774,0.07715442,0.01937638,-0.43127808,1.0258666,0.42257679,0.2796919,-0.9889968,-0.41848212,1.4640464,1.2236339,0.35634845,1.122431,-0.23787749,-1.0434196,0.8767851,-0.81617177,-1.0003945,0.051454328
The Passion of the Christ,0.74,0.05432615782109443,22,0.6400000000000006,0.0023505203663726397,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57132,0.39655688,1.2548784,0.6050937,2.6877878,-1.6278278,-4.6790533,-0.42259565,1.8171827,-0.49012846,-0.012370631,3.0467904,0.97568136,-2.47593,0.27926022,-0.4256178,-0.30469275,1.0667958,-1.6760544,-1.3803164,-2.3298047,2.0587535,2.3556535,1.5548991,-1.13285,-1.0987239,-1.3634171,-2.9912562,-0.27826703,-0.5827443,-0.9157209,1.531352,0.027920524,0.3599595,-0.15542848,-0.64049774,1.1182449,0.3218256,-0.04111907,0.86638963,-0.40168598,-1.0741036,0.56409967,2.0456054,0.876634,-0.9638938,1.0069754,1.9116893,1.1523136,1.9198362,1.717246,-1.4564612,-1.1724483,-0.332201,0.8198768,-1.5862732,0.54871845,-1.7329205,0.792282,-1.0938368,1.5742142,0.34120804,-0.8404679,-2.1021132,-0.62472075,0.19759429,-0.65049964,-0.24635515,-1.8344216,-0.00044205965,-0.10570695,1.2918305,1.1921811,-3.1911345,-0.8619966
Black Adam,0.71,0.4347696575482404,27,1.0,0.00018470568485056077,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.67785186,-0.5580304,-0.1525586,1.8407456,0.7395113,0.2151612,-0.4796416,0.8125831,0.18963666,-0.9195756,0.9042175,-0.22805384,-0.6112893,0.5711886,-0.22639291,-0.15298705,-0.75998485,-0.46414456,-2.950887,-0.30590132,-0.3094469,0.06725708,0.6509918,-0.36442855,-0.1173148,-0.4949314,0.63134146,0.24785578,0.78818977,-1.2352601,-0.37400323,-1.453318,-0.40397263,0.18280104,2.3913615,0.59238404,0.8312761,-0.3194033,1.7612108,1.4789248,1.3291507,0.65900266,0.6090057,-0.54962534,1.5309654,-0.52846014,-0.22831894,1.8833795,-0.06300378,3.0617752,-1.2063216,-0.020981397,0.049634855,-0.6248362,-0.47602504,0.96219224,-0.14730841,1.37848,1.2405345,1.7638607,0.28922704,-0.08577256,0.55312496,-2.0092175,-1.0984188,-1.0227972,-0.6716614,0.2507148,0.34729052,-0.16879444,-0.1059877,1.9639889,-0.57061195,-1.8229711,0.8355482
13 Exorcisms,0.55,0.005368514313349702,33,1.0,7.199692592329739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.57513195,-1.2275711,0.13840328,1.4592975,-0.2815894,-0.6325929,1.0248363,-0.9822082,-0.6174243,-0.22534221,-1.8632113,0.47098604,0.04367858,-0.6603782,0.4460201,0.11987664,1.2741386,0.8671772,0.5799597,-1.0384643,-0.47224957,0.7336808,0.8391253,0.655456,1.3682835,-0.93953764,-0.26666066,-1.5688628,0.41200557,0.36787847,0.18955635,-1.0946013,-1.0894387,0.9510405,-0.040763672,0.900897,0.5940526,-0.1136433,0.06725785,0.40119034,0.32762924,-0.74719125,0.79495597,-0.26927012,0.37260553,-1.355962,0.056321975,-0.4613556,0.15915559,-1.1388936,-0.25243935,-0.007107088,-1.3731916,-0.49398902,-0.17274117,-0.6057719,1.4258952,0.67501414,0.81686145,-0.051629554,-0.99922144,-0.3132936,-0.27024478,-0.100898415,-1.4256651,-0.7650386,-0.3331001,-0.13835056,-0.31256583,-0.5969801,0.5291616,-0.86373395,-0.16237552,-0.0003476152,-0.8293286
H.P. Lovecraft's Witch House,0.6,0.31898439585985294,34,1.0,0.00019375001830927805,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.1004261,-0.45515093,0.6911642,-0.3910736,-0.67871726,0.73964334,-0.98236734,0.42697302,-0.5834101,2.466054,0.26711142,0.60185295,0.86180913,0.5823697,-0.9549943,0.026976744,1.2455555,1.4630358,-0.023459136,-0.8111943,-0.76208293,0.21686466,-0.74159235,-0.14904174,0.68866676,1.4971375,0.8852019,-1.6885525,-0.37121463,0.557126,0.39608958,0.6020018,-0.2789861,0.33962384,0.08378758,1.3397772,-1.1994799,0.25787187,-0.9600216,0.98021364,-1.2053739,-1.4774456,-0.6543084,-0.98075765,0.024096152,0.6819821,-1.5409937,-0.41605523,-1.6884965,0.40435457,-0.10090206,1.0954261,-0.04746364,0.92287874,0.36563963,-0.21090244,-0.91119945,-1.6326891,0.87051326,0.15116811,1.9226497,0.4451443,0.24448001,0.3831909,-1.245237,-1.0886351,-0.46107113,-0.029230993,-0.7257525,-0.8099297,-1.1549649,-0.059422053,-0.8954238,1.0703604,-0.05465148
John Wick: Chapter 2,0.73,0.0869356006548498,35,0.9000000000000057,0.00040492875091188035,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5886684,-0.78345984,0.9985892,0.6121529,-0.33997583,1.5104415,-1.0831006,-0.17091796,-1.3450105,-0.95411706,-0.913754,-0.044409107,1.6425548,-0.15292388,0.74919176,1.3451263,-0.6961697,-0.15939817,-0.43776888,0.16649705,-1.5094281,1.4744962,0.7335777,-0.47506446,0.26160356,-1.4253104,1.4883237,0.46920964,0.0016864139,-0.3310015,-0.7982164,-1.6073177,0.1687071,0.33201048,-0.45793277,1.5190015,0.43084764,-0.19966328,-0.05221167,-0.7799097,-0.09296148,-0.09862481,-0.11585059,0.34075013,-0.73146,-0.59643537,0.8415457,0.41474587,0.7835959,-0.9707897,0.88437295,0.031066323,1.3241003,-1.9345132,0.97622997,0.42359862,0.6601381,0.48880446,-0.22683752,0.4167397,0.14583324,0.36540908,2.0319402,-1.4650848,0.51665705,1.397359,0.9493707,0.65974176,-0.98690957,-0.2502962,-0.12846105,0.5028589,0.76862925,0.92674166,-2.5901122
Sick,0.63,0.1778072480182481,36,1.0,0.0004713147386460061,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.0115995,-0.98260146,-0.61443245,0.54138327,0.7083661,-0.9449474,0.9616455,-0.8946173,0.23435065,-0.043905996,-0.19414487,1.7099525,0.39903668,0.26903638,-0.25835493,-0.41234216,-0.42016312,0.9123649,0.23076156,-1.2154543,0.9239021,0.48029947,1.3797679,0.17180018,0.16533375,-0.8888031,2.5802968,0.5353214,-0.89051574,2.580412,-0.86724204,-0.4292202,0.63200855,1.0021724,-1.24058,-1.2922897,-0.706606,-1.5751107,-0.38441378,1.8702532,0.06930519,1.1750523,0.7289619,0.67493886,0.5806779,1.040902,-0.07836525,1.9971168,-0.9595625,0.061052207,-1.0609323,0.7891936,-0.04531538,-0.21226436,-2.1886094,1.2780397,-0.35092342,-1.3959572,0.36987883,-1.1394641,0.3010142,-1.0208527,0.105250664,0.25347444,0.28822145,-0.26228607,1.6198276,1.3716968,0.47753567,-2.249906,0.25212312,0.7467676,1.3223754,0.6635229,0.6323592
John Wick: Chapter 3 - Parabellum,0.74,0.11954504348860516,39,0.9400000000000048,0.0005608929624521856,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.025223,0.93652165,-0.6426552,-0.28785086,-0.6712749,0.17350118,-0.12205759,0.51019764,0.56582344,-1.0611227,2.2154655,-0.4554327,1.7820945,-1.1537132,0.19420011,0.11229457,-0.054096017,-0.6164746,-2.1189277,0.51558983,-0.5739023,-0.6624702,-0.47729865,-1.0091158,0.6712783,0.72572756,0.51348674,1.4157758,0.6437333,-1.2008425,0.023296244,-0.92355293,0.28217515,-0.39099708,-0.46236777,-0.5244678,0.19668595,-2.0464594,0.9860826,0.80400366,-1.724065,1.4070492,0.64552045,-0.88973767,1.6623266,0.40164188,0.47297987,-0.23780783,-0.53618616,1.2046295,-0.5434524,-0.044852965,0.10336968,0.26029477,2.2126818,1.1572871,-0.5200359,-0.591345,-0.81265575,-0.087359294,1.4521695,2.3837633,0.4629083,-0.3698907,-0.547818,-1.8193831,1.0649562,-0.97322965,0.037499655,-0.29223284,1.3865296,1.6441956,0.2975318,-0.53087366,-0.296916
Fall,0.73,0.006498974998253221,41,1.0,0.0005073755455554906,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5955055,-1.6288581,-0.13875107,-0.81003296,0.76988345,-0.3678126,0.31557032,0.04279274,-1.2095572,-0.39245832,1.0269496,-0.2820524,0.48691088,-0.5507418,0.7633301,0.14373459,0.3046862,-0.61922264,-0.62643653,0.6261625,-0.13332504,0.22220854,0.51662594,-0.34017006,-0.22575672,-0.549225,-0.19308184,-0.53288656,-0.98144436,0.31183955,0.19716926,-0.42392263,0.54877925,0.5686125,-1.0781554,-0.0758797,0.88824075,0.20085856,0.47244903,-0.8844723,0.4954001,0.19877157,0.45109084,-0.93254495,0.37002292,1.0199311,-0.35109675,-0.42403835,-0.9154196,-1.0992007,0.26325172,0.29221022,-0.14979213,-0.3340014,0.82306266,-0.16957264,0.8008847,-0.41020706,-0.9500615,0.83092993,0.7802502,0.71638477,-0.98407084,-0.8829036,0.8832704,-0.6590096,0.86254215,-0.350529,-0.74746466,-0.44944665,-0.028493369,-1.0175773,1.4206632,-0.40168846,-0.75925684
Lord of the Streets,0.52,0.002151049287085839,42,1.0,0.0021520223090993602,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4929483,0.54405445,-0.07856768,1.0300976,-1.9629557,1.5960196,-0.8541297,0.13261339,0.43594447,-0.79921544,0.024000904,-0.5199024,-0.14285617,-0.9505724,-0.41649768,0.21424162,-0.5316164,-0.58446807,-0.26541096,1.029973,-1.1491538,-0.086159475,0.38324034,0.18679792,1.2595991,-0.20286317,-0.18732743,-0.19334015,-0.06872204,0.22172302,0.6635407,-1.0666997,-0.048029706,-1.4798373,-1.6766994,0.37889192,0.054515272,-0.38422173,0.014961023,0.5260462,-1.00656,-0.32089314,0.006972716,0.884683,0.59077466,0.8032404,-0.32712993,-0.40378997,-0.08167083,-0.6046345,0.96670544,-0.44760686,-0.007193599,-0.5661943,0.9059754,0.63298476,0.63078016,-1.6754367,0.17233582,0.1874565,0.72834134,-0.09691329,-0.70847666,-0.76832294,0.4239208,0.01317503,0.5016768,-1.5035416,-0.73999286,0.55958444,-0.4728224,1.3902305,0.4448843,0.71939856,0.43669176
